"id","type","date","panel","subpanel","budget","duration","coinvestigators"
"2011/01/B/HS1/00522","OPUS","2011-03-15","HS","HS1",37560,30,1
"2011/03/B/HS3/00769","OPUS","2011-09-15","HS","HS3",23400,10,1
"2011/01/B/HS1/00559","OPUS","2011-03-15","HS","HS1",39000,36,1
"2011/01/B/NZ7/04370","OPUS","2011-03-15","NZ","NZ7",94900,18,5
"2011/01/B/HS1/00771","OPUS","2011-03-15","HS","HS1",58908,30,1
"2011/01/B/HS2/01335","OPUS","2011-03-15","HS","HS2",97500,18,8
"2011/01/B/HS1/00944","OPUS","2011-03-15","HS","HS1",69850,24,3
"2011/01/B/ST10/04440","OPUS","2011-03-15","ST","ST10",275700,12,2
"2011/01/B/HS1/00954","OPUS","2011-03-15","HS","HS1",59800,12,16
"2011/01/B/ST8/04926","OPUS","2011-03-15","ST","ST8",173100,12,4
"2011/01/B/HS1/00996","OPUS","2011-03-15","HS","HS1",58750,24,1
"2011/03/B/HS4/05681","OPUS","2011-09-15","HS","HS4",168560,12,2
"2011/01/B/HS1/01018","OPUS","2011-03-15","HS","HS1",28442,24,1
"2011/01/B/HS5/00524","OPUS","2011-03-15","HS","HS5",83125,18,4
"2011/01/B/HS1/01536","OPUS","2011-03-15","HS","HS1",58075,30,1
"2011/01/B/HS2/01144","OPUS","2011-03-15","HS","HS2",20000,12,4
"2011/01/B/HS1/01728","OPUS","2011-03-15","HS","HS1",196050,36,10
"2011/01/B/NZ9/00218","OPUS","2011-03-15","NZ","NZ9",123682,18,4
"2011/01/B/HS1/01791","OPUS","2011-03-15","HS","HS1",307000,36,12
"2011/01/B/ST10/06985","OPUS","2011-03-15","ST","ST10",150800,20,4
"2011/01/B/HS1/01927","OPUS","2011-03-15","HS","HS1",14760,14,1
"2011/01/B/NZ6/00277","OPUS","2011-03-15","NZ","NZ6",159410,18,3
"2011/01/B/HS1/03910","OPUS","2011-03-15","HS","HS1",99700,36,1
"2011/01/B/HS4/02328","OPUS","2011-03-15","HS","HS4",89850,18,4
"2011/01/B/HS1/04004","OPUS","2011-03-15","HS","HS1",28956,6,1
"2011/01/B/HS5/04619","OPUS","2011-03-15","HS","HS5",52500,12,1
"2011/01/B/HS1/04014","OPUS","2011-03-15","HS","HS1",183908,36,1
"2011/01/B/HS4/00970","OPUS","2011-03-15","HS","HS4",140000,18,2
"2011/01/B/HS1/04023","OPUS","2011-03-15","HS","HS1",76800,36,1
"2011/01/B/ST5/03870","OPUS","2011-03-15","ST","ST5",112000,20,2
"2011/01/B/HS1/04029","OPUS","2011-03-15","HS","HS1",72540,36,1
"2011/01/B/HS4/01056","OPUS","2011-03-15","HS","HS4",70000,18,2
"2011/01/B/HS1/04283","OPUS","2011-03-15","HS","HS1",102500,36,1
"2011/01/B/HS6/05853","OPUS","2011-03-15","HS","HS6",18250,18,1
"2011/01/B/HS1/04462","OPUS","2011-03-15","HS","HS1",77400,36,6
"2011/01/B/HS6/00412","OPUS","2011-03-15","HS","HS6",170200,19,2
"2011/01/B/HS1/04572","OPUS","2011-03-15","HS","HS1",91500,36,4
"2011/03/B/HS3/00535","OPUS","2011-09-15","HS","HS3",18850,12,1
"2011/01/B/HS1/05416","OPUS","2011-03-15","HS","HS1",66300,24,1
"2011/01/B/HS5/02615","OPUS","2011-03-15","HS","HS5",99274,17,8
"2011/01/B/HS2/00505","OPUS","2011-03-15","HS","HS2",218830,36,6
"2011/01/B/HS4/04735","OPUS","2011-03-15","HS","HS4",49920,18,2
"2011/01/B/HS2/00964","OPUS","2011-03-15","HS","HS2",76800,36,4
"2011/03/B/HS4/05092","OPUS","2011-09-15","HS","HS4",78000,12,3
"2011/01/B/HS2/01095","OPUS","2011-03-15","HS","HS2",52000,24,1
"2011/01/B/HS5/00731","OPUS","2011-03-15","HS","HS5",52400,18,1
"2011/01/B/HS2/01120","OPUS","2011-03-15","HS","HS2",76800,36,3
"2011/01/B/HS2/06117","OPUS","2011-03-15","HS","HS2",98250,18,2
"2011/01/B/HS2/01154","OPUS","2011-03-15","HS","HS2",45000,36,2
"2011/01/B/ST10/05384","OPUS","2011-03-15","ST","ST10",232480,18,5
"2011/01/B/HS2/01168","OPUS","2011-03-15","HS","HS2",38250,36,2
"2011/01/B/ST3/00506","OPUS","2011-03-15","ST","ST3",175800,18,5
"2011/01/B/HS2/01190","OPUS","2011-03-15","HS","HS2",39371,18,1
"2011/01/B/HS2/01704","OPUS","2011-03-15","HS","HS2",39390,12,3
"2011/01/B/HS2/01198","OPUS","2011-03-15","HS","HS2",134431,30,11
"2011/01/B/ST9/05437","OPUS","2011-03-15","ST","ST9",56940,12,4
"2011/01/B/HS2/01293","OPUS","2011-03-15","HS","HS2",43800,24,1
"2011/01/B/HS4/03397","OPUS","2011-03-15","HS","HS4",143400,20,3
"2011/01/B/HS2/01298","OPUS","2011-03-15","HS","HS2",205609,30,12
"2011/01/B/HS4/05903","OPUS","2011-03-15","HS","HS4",80500,18,3
"2011/01/B/HS2/01320","OPUS","2011-03-15","HS","HS2",59570,36,1
"2011/01/B/HS4/04743","OPUS","2011-03-15","HS","HS4",186400,18,4
"2011/01/B/HS2/04723","OPUS","2011-03-15","HS","HS2",40200,21,3
"2011/01/B/HS2/01616","OPUS","2011-03-15","HS","HS2",33500,36,1
"2011/01/B/HS5/05372","OPUS","2011-03-15","HS","HS5",64500,16,1
"2011/01/B/HS2/01651","OPUS","2011-03-15","HS","HS2",65000,20,1
"2011/01/B/HS4/03233","OPUS","2011-03-15","HS","HS4",120220,24,3
"2011/01/B/HS6/04691","OPUS","2011-03-15","HS","HS6",116000,12,5
"2011/01/B/HS2/01789","OPUS","2011-03-15","HS","HS2",109200,36,1
"2011/01/B/HS4/02609","OPUS","2011-03-15","HS","HS4",167000,24,6
"2011/01/B/HS2/01840","OPUS","2011-03-15","HS","HS2",71500,36,3
"2011/01/B/HS4/00508","OPUS","2011-03-15","HS","HS4",298926,20,6
"2011/01/B/HS2/02082","OPUS","2011-03-15","HS","HS2",60280,24,1
"2011/03/B/HS5/03473","OPUS","2011-09-15","HS","HS5",77050,16,10
"2011/01/B/HS2/02092","OPUS","2011-03-15","HS","HS2",48740,24,1
"2011/03/B/HS1/00930","OPUS","2011-09-15","HS","HS1",45600,15,1
"2011/01/B/HS2/02161","OPUS","2011-03-15","HS","HS2",214800,16,1
"2011/01/B/HS5/00965","OPUS","2011-03-15","HS","HS5",48460,24,1
"2011/01/B/HS2/02351","OPUS","2011-03-15","HS","HS2",373580,28,3
"2011/01/B/HS2/03201","OPUS","2011-03-15","HS","HS2",85050,24,4
"2011/01/B/HS2/02425","OPUS","2011-03-15","HS","HS2",95601,33,1
"2011/01/B/ST4/00665","OPUS","2011-03-15","ST","ST4",252000,24,5
"2011/01/B/HS2/02479","OPUS","2011-03-15","HS","HS2",214589,36,4
"2011/01/B/NZ7/01497","OPUS","2011-03-15","NZ","NZ7",147550,24,6
"2011/01/B/HS2/02586","OPUS","2011-03-15","HS","HS2",705500,36,3
"2011/01/B/ST7/01877","OPUS","2011-03-15","ST","ST7",88000,12,4
"2011/01/B/HS2/02937","OPUS","2011-03-15","HS","HS2",45250,24,3
"2012/05/B/HS4/04196","OPUS","2012-03-15","HS","HS4",450000,36,8
"2011/01/B/HS2/02992","OPUS","2011-03-15","HS","HS2",103762,36,1
"2011/01/B/ST7/06706","OPUS","2011-03-15","ST","ST7",159900,24,7
"2011/03/B/HS1/00476","OPUS","2011-09-15","HS","HS1",67115,13,1
"2011/01/B/HS2/03280","OPUS","2011-03-15","HS","HS2",38080,24,1
"2011/01/B/ST6/06986","OPUS","2011-03-15","ST","ST6",98800,24,2
"2011/01/B/HS2/03285","OPUS","2011-03-15","HS","HS2",56250,36,1
"2011/03/B/ST2/03694","OPUS","2011-09-15","ST","ST2",47268,12,2
"2011/01/B/HS2/03292","OPUS","2011-03-15","HS","HS2",106400,36,1
"2011/01/B/NZ8/03146","OPUS","2011-03-15","NZ","NZ8",151930,24,2
"2011/01/B/HS2/03346","OPUS","2011-03-15","HS","HS2",112050,24,5
"2011/01/B/HS4/04718","OPUS","2011-03-15","HS","HS4",226200,24,6
"2011/01/B/HS2/03615","OPUS","2011-03-15","HS","HS2",51001,36,1
"2011/01/B/NZ8/01721","OPUS","2011-03-15","NZ","NZ8",180400,24,4
"2011/01/B/HS2/04503","OPUS","2011-03-15","HS","HS2",87340,28,17
"2011/01/B/HS4/02809","OPUS","2011-03-15","HS","HS4",98000,24,1
"2011/01/B/HS2/04643","OPUS","2011-03-15","HS","HS2",4e+05,36,15
"2011/01/B/ST1/01305","OPUS","2011-03-15","ST","ST1",145600,24,2
"2011/01/B/HS2/04695","OPUS","2011-03-15","HS","HS2",204000,36,8
"2011/01/B/HS4/00841","OPUS","2011-03-15","HS","HS4",28850,24,1
"2011/01/B/ST6/07021","OPUS","2011-03-15","ST","ST6",260000,24,15
"2011/01/B/HS2/04911","OPUS","2011-03-15","HS","HS2",31720,24,1
"2011/01/B/NZ6/00286","OPUS","2011-03-15","NZ","NZ6",1e+05,24,2
"2011/01/B/HS2/05063","OPUS","2011-03-15","HS","HS2",38500,24,1
"2011/01/B/ST1/05089","OPUS","2011-03-15","ST","ST1",117450,24,3
"2011/01/B/HS2/05113","OPUS","2011-03-15","HS","HS2",55000,36,1
"2011/01/B/HS4/00570","OPUS","2011-03-15","HS","HS4",156900,24,3
"2011/01/B/HS2/05115","OPUS","2011-03-15","HS","HS2",52550,30,1
"2011/01/B/ST1/01413","OPUS","2011-03-15","ST","ST1",84500,24,2
"2011/01/B/HS2/05120","OPUS","2011-03-15","HS","HS2",446500,36,12
"2011/01/B/HS2/05388","OPUS","2011-03-15","HS","HS2",39000,24,1
"2011/01/B/HS2/05436","OPUS","2011-03-15","HS","HS2",96750,36,1
"2011/01/B/HS4/05178","OPUS","2011-03-15","HS","HS4",26400,18,7
"2011/01/B/HS2/05678","OPUS","2011-03-15","HS","HS2",76500,30,3
"2011/01/B/HS4/02307","OPUS","2011-03-15","HS","HS4",38600,24,1
"2011/01/B/HS2/05889","OPUS","2011-03-15","HS","HS2",51980,36,3
"2011/01/B/HS2/05981","OPUS","2011-03-15","HS","HS2",120000,24,9
"2011/01/B/ST3/00512","OPUS","2011-03-15","ST","ST3",302500,24,7
"2011/01/B/HS2/06093","OPUS","2011-03-15","HS","HS2",125000,36,1
"2011/01/B/HS4/00804","OPUS","2011-03-15","HS","HS4",68880,24,3
"2011/01/B/HS4/00835","OPUS","2011-03-15","HS","HS4",399400,24,13
"2011/01/B/HS2/06123","OPUS","2011-03-15","HS","HS2",348000,36,14
"2011/01/B/HS4/03298","OPUS","2011-03-15","HS","HS4",79300,24,6
"2011/01/B/HS2/06182","OPUS","2011-03-15","HS","HS2",437400,36,9
"2011/01/B/HS3/00714","OPUS","2011-03-15","HS","HS3",41000,36,1
"2011/01/B/ST5/06283","OPUS","2011-03-15","ST","ST5",398000,26,14
"2011/01/B/HS3/00736","OPUS","2011-03-15","HS","HS3",65500,27,1
"2011/01/B/ST5/00773","OPUS","2011-03-15","ST","ST5",395700,24,7
"2011/01/B/HS3/00753","OPUS","2011-03-15","HS","HS3",149064,24,1
"2011/01/B/ST1/01221","OPUS","2011-03-15","ST","ST1",66040,24,1
"2011/01/B/HS3/00791","OPUS","2011-03-15","HS","HS3",300145,36,15
"2011/01/B/HS4/02858","OPUS","2011-03-15","HS","HS4",68250,24,1
"2011/01/B/HS3/00801","OPUS","2011-03-15","HS","HS3",54960,12,1
"2011/01/B/ST10/04930","OPUS","2011-03-15","ST","ST10",139700,24,2
"2011/01/B/HS3/00828","OPUS","2011-03-15","HS","HS3",304200,36,6
